,id_recipe,name,Cook Time:,Soak Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Prep Time:,Yield:,Total Fat,Total Sugars,Vitamin C,Calcium,Iron,Additional Time:,Cholesterol,Saturated Fat
0,7107699,Orange Marmalade, 1 hr 25 mins, 8 hrs, 9 hrs 55 mins,32 ,32,96,2mg,25g,1g,0g,42mg,,,,,,,,,,,,
1,6648286,Strawberry Jam,20 mins,,40 mins,40 ,40,85,0mg,22g,1g,0g,37mg,4.6,942,20 mins,5 cups,0g,21g,14mg,4mg,0mg,,,
2,6649302,Hot Pepper Jelly,15 mins,, 1 hr 45 mins,48 ,48,89,3mg,23g,0g,0g,29mg,4.5,361,30 mins,6 (8-ounce) jars,,21g,14mg,2mg,0mg, 1 hr,,
3,6738659,Concord Grape Jelly,30 mins,, 9 hrs,64 ,64,101,1mg,26g,0g,0g,51mg,4.5,113,30 mins,8 pints,0g,26g,1mg,4mg,0mg, 8 hrs,,
4,6650285,Easy Small-Batch Blueberry Jam,30 mins,,35 mins,16 ,16,69,0mg,18g,1g,0g,30mg,4.7,233,5 mins,1 cup,0g,16g,4mg,3mg,0mg,,,
5,6738077,Strawberry Freezer Jam,10 mins,,1 day 30 mins,80 ,80,41,0mg,10g,0g,,9mg,4.4,191,10 mins,5 pints,,10g,3mg,1mg,,1 day 10 mins,,
6,6582530,Jalapeño Jelly,45 mins,, 1 hr 5 mins,32 ,32,109,1mg,28g,0g,0g,41mg,4.7,232,20 mins,2 (8-ounce) jars,0g,27g,7mg,2mg,0mg,,,
7,6572536,Rhubarb Jam,45 mins,, 1 hr 10 mins,32 ,32,57,2mg,14g,1g,0g,108mg,4.7,218,25 mins,2 pints,0g,13g,4mg,31mg,0mg,,,
8,6576405,Amazing Apple Butter, 10 hrs 25 mins,, 10 hrs 40 mins,48 ,48,75,2mg,20g,2g,0g,127mg,4.9,16,10 mins,6 cups,0g,16g,5mg,8mg,0mg,5 mins,,
9,6648623,Raspberry Jam without Pectin,20 mins,, 8 hrs 30 mins,56 ,56,60,,15g,1g,0g,14mg,4.6,56,5 mins,7 8-ounce jars,,15g,2mg,2mg,0mg, 8 hrs 5 mins,,
10,6651125,All-Day Apple Butter, 11 hrs,, 11 hrs 30 mins,128 ,128,34,5mg,9g,1g,0g,21mg,4.7,"1,251",30 mins,4 pints,,8g,1mg,2mg,,,,
11,6650234,Chef John's Kumquat Marmalade,45 mins,, 3 hrs 30 mins,32 ,32,35,2mg,9g,1g,0g,32mg,4.8,48,45 mins,2 cups,0g,8g,9mg,11mg,0mg, 2 hrs,,
12,6738674,Peach Preserves,35 mins,,50 mins,64 ,64,59,1mg,15g,,,6mg,4.6,225,15 mins,8 cups,,15g,8mg,2mg,,,,
13,6605723,Mint Jelly,15 mins,,35 mins,32 ,32,86,1mg,22g,0g,,10mg,4.2,57,10 mins,4 1/2-pint jars,,22g,1mg,3mg,,10 mins,,
14,6577085,Strawberry-Rhubarb Jam,15 mins,, 12 hrs 45 mins,192 ,192,42,0mg,11g,0g,,14mg,4.3,125,30 mins,12 half-pint jars,,11g,2mg,3mg,, 12 hrs,,
15,6648803,Grandma's Pear Preserves,15 mins,, 12 hrs 45 mins,48 ,48,151,1mg,39g,1g,0g,30mg,3.9,126,30 mins,6 half pints,0g,38g,1mg,5mg,0mg, 12 hrs,,
16,6569907,Apricot Jam,40 mins,, 2 hrs,50 ,50,105,0mg,27g,1g,0g,66mg,4.5,69,20 mins,5 pints,0g,26g,3mg,4mg,0mg, 1 hr,,
17,6741680,Pear Jam,20 mins,,40 mins,64 ,64,99,1mg,25g,0g,0g,16mg,4.4,47,20 mins,8 (1/2-pint) jars,0g,25g,1mg,2mg,,,0mg,
18,6567794,Apple Jelly,40 mins,,1 day 1 hr,100 ,100,68,2mg,18g,0g,0g,17mg,4.0,24,20 mins,,0g,17g,1mg,1mg,0mg,1 day,0mg,0g
19,6562369,Onion Jam,55 mins,, 1 hr 20 mins,32 ,32,37,19mg,5g,0g,0g,35mg,4.7,47,25 mins,,2g,4g,2mg,5mg,0mg,,,0g
