,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:
0,6648668,Tiramisu,30 mins,5 mins, 5 hrs, 5 hrs 35 mins,12 ,1 7x11-inch tiramisu,12,387,31g,17g,216mg,60mg,23g,0g,13g,7g,0mg,104mg,1mg,74mg,4.8,"2,115",
1,6738351,Tiramisu Layer Cake,40 mins,25 mins,40 mins, 1 hr 45 mins,12 ,1 3-layer 9-inch cake,12,465,29g,15g,78mg,309mg,46g,1g,34g,4g,0mg,136mg,1mg,101mg,4.8,"1,866",
2,6825597,Tiramoussa Semifreddo – Frozen Italian Coffee Dessert,20 mins,10 mins,, 4 hrs 30 mins,10 ,,10,173,13g,8g,115mg,43mg,11g,,,3g,,,,58mg,5.0,2, 4 hrs
3,6648247,Tiramisu Cheesecake,25 mins,40 mins, 3 hrs 50 mins, 4 hrs 55 mins,12 ,1 9-inch cheesecake,12,528,36g,21g,188mg,256mg,40g,1g,20g,10g,,91mg,2mg,116mg,4.5,400,
4,6651157,Classic Tiramisu,30 mins,30 mins, 1 hr, 2 hrs,12 ,12 servings,12,568,32g,17g,303mg,113mg,60g,1g,25g,10g,0mg,93mg,2mg,104mg,4.7,827,
5,6571422,Easy Tiramisu,15 mins,, 1 hr, 1 hr 15 mins,6 ,1 8x8 inch dish,6,406,26g,13g,252mg,93mg,36g,1g,9g,9g,,94mg,2mg,104mg,4.2,113,
6,6650639,Authentic Tiramisu,30 mins,, 2 hrs, 2 hrs 30 mins,12 ,,12,324,22g,11g,155mg,84mg,26g,1g,9g,8g,0mg,76mg,2mg,115mg,4.7,63,
7,6601860,Easy Ricotta Tiramisu,30 mins,, 10 hrs, 10 hrs 30 mins,10 ,,10,406,19g,11g,128mg,114mg,47g,0g,24g,9g,0mg,152mg,1mg,155mg,4.7,3,
8,6648583,Chef John's Tiramisu,30 mins,5 mins, 8 hrs, 8 hrs 35 mins,2 ,,2,774,52g,25g,413mg,285mg,57g,2g,20g,19g,0mg,179mg,3mg,263mg,4.8,33,
9,6586567,Baileys Tiramisu,15 mins,, 2 hrs, 2 hrs 15 mins,8 ,,8,520,34g,19g,166mg,158mg,39g,1g,17g,7g,0mg,98mg,1mg,109mg,5.0,2,
10,6576767,Coffee and Donuts Tiramisu,15 mins,, 8 hrs, 8 hrs 15 mins,12 ,1 8-inch tiramisu,12,249,16g,8g,8mg,239mg,25g,1g,,2g,0mg,44mg,1mg,135mg,4.3,3,
11,6573988,Sopranos Style Tiramisu,30 mins,, 2 hrs, 2 hrs 30 mins,12 ,,12,409,29g,16g,123mg,64mg,33g,1g,18g,6g,0mg,83mg,2mg,102mg,5.0,22,
12,6739409,Tiramisu Poke Cake,30 mins,29 mins, 2 hrs 30 mins, 3 hrs 29 mins,12 ,1 9x13-inch baking dish,12,564,30g,13g,174mg,491mg,62g,1g,51g,9g,1mg,210mg,3mg,247mg,4.6,29,
13,6589099,Tiramisu al Marsala,40 mins,, 3 hrs, 3 hrs 40 mins,6 ,6 servings,6,759,41g,21g,368mg,209mg,70g,2g,22g,18g,0mg,155mg,4mg,331mg,4.5,2,
14,6737241,Tiramisu Toffee Dessert,20 mins,, 1 hr, 1 hr 20 mins,12 ,12 servings,12,434,28g,17g,134mg,200mg,43g,1g,34g,4g,0mg,60mg,1mg,127mg,4.7,263,
15,6737865,Tiramisu Chocolate Mousse,5 mins,10 mins, 2 hrs 30 mins, 2 hrs 45 mins,4 ,4 servings,4,381,31g,18g,180mg,33mg,23g,0g,5g,4g,0mg,58mg,1mg,131mg,4.6,22,
16,6600229,Strawberry Tiramisu Without Eggs,40 mins,5 mins, 4 hrs, 4 hrs 45 mins,10 ,10 servings,10,355,26g,16g,119mg,168mg,27g,2g,12g,6g,49mg,82mg,2mg,204mg,4.7,3,
17,6599988,Tiramisu Cake,20 mins,, 2 hrs, 2 hrs 20 mins,12 ,1 9x5-inch cake,12,402,27g,14g,71mg,243mg,33g,1g,15g,6g,,123mg,0mg,51mg,4.3,3,
18,6593727,Chocolate and Orange Tiramisu,45 mins,, 5 hrs, 5 hrs 45 mins,12 ,1 9x13-inch dish,12,433,35g,20g,148mg,67mg,25g,1g,10g,6g,21mg,97mg,1mg,164mg,5.0,2,
19,6572576,Emily's Famous Tiramisu,45 mins,20 mins, 3 hrs 55 mins, 5 hrs,12 ,1 - 9-inch round,12,558,27g,15g,155mg,56mg,70g,1g,60g,6g,0mg,67mg,1mg,76mg,4.6,133,
20,6573817,Strawberry Tiramisu Trifle,20 mins,,,20 mins,4 ,4 servings,4,433,23g,13g,153mg,302mg,46g,2g,19g,13g,44mg,94mg,2mg,260mg,4.7,3,
21,6586694,5 Ingredient Tiramisu,20 mins,,1 day,1 day 20 mins,16 ,16 servings,16,447,27g,15g,152mg,81mg,46g,0g,25g,6g,0mg,77mg,1mg,96mg,3.9,12,
22,6738613,Ice Cream Tiramisu Cake,30 mins,5 mins, 2 hrs 25 mins, 3 hrs,12 ,12 servings,12,505,23g,14g,151mg,325mg,63g,0g,46g,8g,0mg,230mg,0mg,90mg,4.7,10,
