,id_recipe,name,Prep Time:,Cook Time:,Refrigerate Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,7550726,Carolina Red Slaw,20 mins,0 mins, 6 hrs,40 mins, 7 hrs,8 ,8,76,0g,0g,0mg,609mg,19g,3g,14g,2g,59mg,61mg,0mg,330mg,4.6,8,,
1,6592700,Best Vinegar Coleslaw,15 mins,5 mins,,, 2 hrs 20 mins,8 ,8,224,9g,1g,0mg,352mg,35g,3g,30g,2g,60mg,90mg,1mg,339mg,4.7,522, 2 hrs,
2,7093674,Warm Grilled Red Cabbage Slaw,20 mins,15 mins,,,35 mins,5 ,5,160,6g,1g,,51mg,27g,5g,,3g,,,,538mg,4.5,2,,1 cups
3,6663934,Napa Cabbage Salad,15 mins,15 mins,,,30 mins,6 ,6,632,51g,12g,27mg,653mg,40g,6g,22g,9g,60mg,262mg,3mg,732mg,4.7,426,,
4,6590938,Best Ramen Noodle Salad,15 mins,10 mins,,,55 mins,6 ,6,450,31g,4g,6mg,324mg,35g,4g,4g,10g,28mg,87mg,3mg,294mg,4.3,60,30 mins,
5,6592308,Traditional Creamy Coleslaw,10 mins,,,, 1 hr 10 mins,12 ,12,204,16g,2g,12mg,332mg,14g,1g,5g,1g,23mg,34mg,1mg,130mg,4.8,183, 1 hr,
6,6738938,Southern Coleslaw,20 mins,,,, 2 hrs 20 mins,8 ,8,184,11g,2g,6mg,274mg,20g,4g,15g,3g,57mg,85mg,1mg,342mg,4.8,321, 2 hrs,
7,7182208,"Apple, Raisin, and Carrot Slaw",15 mins,,,,15 mins,8 ,8,107,3g,0g,2mg,247mg,20g,3g,13g,3g,38mg,81mg,1mg,333mg,5.0,2,,
8,7110176,Copycat KFC Coleslaw,15 mins, 2 hrs,,, 2 hrs 15 mins,8 ,8,167,12g,2g,10mg,217mg,14g,1g,,1g,,,,111mg,3.8,8,,
9,6649083,Red Cabbage Slaw,15 mins,,,, 4 hrs 15 mins,6 ,6,216,18g,3g,7mg,137mg,14g,3g,9g,2g,55mg,55mg,1mg,288mg,4.6,79, 4 hrs,
10,6737404,Asian Coleslaw,30 mins,,,,30 mins,10 ,10,184,13g,2g,,514mg,16g,3g,11g,4g,64mg,62mg,1mg,359mg,4.6,792,,
11,6576800,Japanese-Style Cabbage Salad,25 mins,,,,25 mins,12 ,12,126,10g,1g,,208mg,8g,3g,4g,4g,23mg,88mg,1mg,215mg,4.2,67,,
12,6568442,Red Cabbage Salad,15 mins,,,, 8 hrs 15 mins,6 ,6,225,19g,1g,,578mg,15g,3g,8g,2g,80mg,67mg,1mg,374mg,4.4,113, 8 hrs,
