,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6738263,5 mins,40 mins, 2 hrs, 2 hrs 45 mins,2 ,2,503,31g,11g,121mg,1015mg,23g,1g,18g,30g,3mg,62mg,3mg,407mg,4.4,128,
1,6650013,30 mins,30 mins,, 1 hr,4 ,4,569,19g,5g,243mg,574mg,63g,4g,7g,35g,30mg,152mg,7mg,1012mg,4.6,84,
2,6600423,55 mins,30 mins,, 1 hr 25 mins,12 ,12,27,,,,18mg,6g,0g,,1g,,1mg,0mg,7mg,4.2,229,1 dozen
3,6649574, 1 hr,20 mins,, 1 hr 20 mins,20 ,20,262,18g,5g,38mg,1037mg,15g,1g,1g,10g,1mg,21mg,2mg,170mg,4.4,129,
4,6648633,5 mins,20 mins,,25 mins,4 ,4,227,12g,3g,248mg,598mg,15g,1g,9g,15g,10mg,54mg,3mg,252mg,4.4,132,8 patties
5,6586440,20 mins, 3 hrs, 8 hrs, 11 hrs 20 mins,8 ,8,76,5g,2g,186mg,659mg,1g,0g,0g,7g,1mg,37mg,1mg,94mg,4.2,36,8 eggs
6,6648957,30 mins,5 mins, 1 hr, 1 hr 35 mins,8 ,8,183,0g,,,82mg,43g,1g,,3g,0mg,13mg,1mg,51mg,4.3,54,8 mochi
7,6649396,25 mins,5 mins,30 mins, 1 hr,6 ,6,439,19g,6g,55mg,1453mg,46g,2g,4g,20g,11mg,42mg,4mg,391mg,4.7,112,32 pot stickers
8,6664052,10 mins,5 mins,,15 mins,4 ,4,65,4g,1g,,270mg,7g,3g,4g,2g,42mg,49mg,1mg,208mg,4.5,81,
9,6650684,20 mins, 1 hr,, 1 hr 20 mins,5 ,5,540,25g,7g,103mg,2373mg,50g,2g,1g,28g,2mg,91mg,5mg,403mg,4.8,214,50 dumplings
10,6650487, 1 hr,30 mins, 1 hr, 2 hrs 30 mins,20 ,20,169,7g,1g,46mg,315mg,16g,3g,2g,10g,17mg,38mg,1mg,232mg,4.7,243,20 egg rolls
11,6563599,5 mins, 1 hr 55 mins,, 2 hrs,8 ,8,222,0g,,,9mg,51g,6g,38g,5g,1mg,37mg,2mg,325mg,4.3,16,
12,6650913,10 mins,30 mins,30 mins, 1 hr 10 mins,6 ,6,382,23g,4g,99mg,848mg,7g,1g,3g,35g,9mg,27mg,1mg,658mg,4.7,154,
13,6649046,10 mins, 2 hrs, 3 hrs, 5 hrs 10 mins,6 ,6,513,22g,8g,90mg,2421mg,49g,1g,43g,26g,3mg,57mg,3mg,504mg,4.8,111,
14,6648899,15 mins,10 mins,,25 mins,2 ,2,361,17g,3g,73mg,1908mg,2g,1g,0g,48g,3mg,119mg,13mg,1110mg,4.8,109,2 servings
15,6582167,15 mins,20 mins,,35 mins,4 ,4,431,34g,11g,130mg,991mg,7g,2g,2g,24g,33mg,120mg,2mg,649mg,4.6,139,4 servings
16,6580715,20 mins,15 mins,,35 mins,8 ,8,69,5g,1g,,175mg,5g,1g,2g,2g,23mg,60mg,1mg,278mg,4.7,141,8 servings
