,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,7686376,Apple Cider Margarita,5 mins,0 mins,5 mins,2 ,2 margaritas,2,434,1g,0g,0mg,13mg,74g,11g,52g,2g,68mg,75mg,1mg,523mg,,,
1,7499354,Passion Fruit Margarita,5 mins,0 mins,5 mins,1 ,1 passion fruit margarita,1,298,0g,0g,0mg,6370mg,37g,2g,29g,2g,55mg,46mg,1mg,528mg,,,
2,7495284,Guava Margarita,5 mins,0 mins,5 mins,2 ,2 guava margaritas,2,323,0g,0g,0mg,6371mg,45g,5g,29g,1g,70mg,63mg,1mg,195mg,,,
3,6774216,Spicy Watermelon Margarita,10 mins,,10 mins,1 ,1 drink,1,382,1g,0g,,410mg,64g,4g,47g,4g,76mg,67mg,2mg,767mg,5.0,1,
4,6578654,Quick and Easy Mango Margaritas,5 mins,,5 mins,4 ,4 cocktails,4,208,0g,,,62mg,27g,1g,26g,0g,7mg,7mg,0mg,35mg,5.0,1,
5,6739364,Margaritas,5 mins,,5 mins,4 ,,,,,,,,,,,,,,,,4.8,650,
6,6944443,Kombucha Margarita,5 mins,,5 mins,1 ,1 kombucha margarita,1,227,0g,,,5857mg,14g,0g,,0g,,,,37mg,,,
7,6891020,Blood Orange Margarita,5 mins,,5 mins,2 ,2 blood orange margaritas,2,101,0g,,,3mg,12g,1g,,0g,,,,21mg,,,
8,6752794,Pineapple Margarita,5 mins,,5 mins,1 ,1 pineapple margarita,1,266,0g,,,5856mg,24g,0g,,1g,,,,159mg,4.7,3,
9,6648215,The Perfect Margarita,10 mins,,10 mins,1 ,1 margarita,1,321,0g,,,331mg,30g,2g,20g,1g,31mg,34mg,4mg,125mg,4.7,43,
10,6648443,Ultimate Frozen Strawberry Margarita,5 mins,,5 mins,4 ,,,,,,,,,,,,,,,,4.8,408,
11,7966103,Tamarind Margarita,5 mins,,5 mins,1 ,,1,402,1g,0g,0mg,2273mg,75g,8g,47g,3g,38mg,197mg,6mg,577mg,,,
12,6739569,Pitcher Perfect Margaritas,10 mins,,10 mins,8 ,,,,,,,,,,,,,,,,4.5,35,
13,6663660,Margarita Cocktail,5 mins,,5 mins,1 ,,1,202,0g,,,5770mg,14g,0g,12g,0g,6mg,11mg,0mg,31mg,4.9,14,
14,6586715,Prickly Pear Cactus Margarita,5 mins,,5 mins,1 ,,1,423,0g,,,3mg,56g,0g,52g,0g,9mg,5mg,0mg,42mg,5.0,18,
15,6599282,Jalapeño Margaritas,10 mins,,10 mins,2 ,2 margaritas,2,298,0g,,,205mg,32g,3g,21g,1g,31mg,34mg,1mg,116mg,4.7,50,
16,6663756,Keto Margarita,10 mins,,10 mins,1 ,,1,142,,,,5785mg,4g,0g,1g,0g,12mg,32mg,0mg,55mg,4.9,21,
17,6649451,Beer Margaritas,5 mins,,5 mins,6 ,6 1-cup servings,,,,,,,,,,,,,,,4.8,"1,214",
18,6580513,Classic Frozen Strawberry Margarita,10 mins,,10 mins,1 ,,1,206,0g,,,3mg,21g,1g,17g,0g,35mg,13mg,0mg,108mg,4.8,16,
19,6736959,Jalapeno and Cucumber Margarita,5 mins,, 1 hr 5 mins,4 ,4 servings,4,170,0g,,,2887mg,21g,1g,7g,1g,13mg,17mg,0mg,109mg,4.6,36, 1 hr
20,6581781,The Perfect Blended Margarita,5 mins,,5 mins,4 ,,,,,,,,,,,,,,,,3.5,13,
21,6577579,Presidente Margarita,5 mins,,5 mins,1 ,,1,416,0g,,,4mg,55g,0g,54g,0g,5mg,4mg,,22mg,5.0,15,
22,6650532,Easy Frozen Margaritas,,,,8 ,8 6-ounce drinks,,,,,,,,,,,,,,,4.9,72,
23,6601010,The Ultimate Margarita,,,,1 ,1 cocktail,1,274,0g,,,2mg,32g,2g,28g,0g,9mg,4mg,0mg,39mg,4.8,28,
24,6591678,Margarita Jell-O® Shots,5 mins,, 5 hrs 5 mins,15 ,15 shots,15,52,,,,27mg,7g,,7g,1g,,1mg,,1mg,5.0,3, 5 hrs
25,6592392,Creamy Coconut Margarita,10 mins,,10 mins,6 ,6 margaritas,6,379,13g,10g,,40mg,48g,0g,47g,0g,6mg,4mg,,26mg,4.9,16,
26,6664606,Jewel's Watermelon Margaritas,10 mins,5 mins,45 mins,,4 servings,,241,0g,,,42mg,38g,2g,30g,1g,36mg,38mg,0mg,154mg,4.7,102,30 mins
27,6570563,Banana Margaritas,5 mins,5 mins,10 mins,4 ,4 servings,,,,,,,,,,,,,,,4.3,36,
28,6589386,Parker's Famous Margaritas,5 mins,,5 mins,4 ,12 fluid ounces,,,,,,,,,,,,,,,4.5,92,
29,6568525,Basic Margarita,3 mins,,5 mins,4 ,4 servings,,,,,,,,,,,,,,,4.1,23,2 mins
30,6593396,Bucket of Margaritas,5 mins,,1 day 5 mins,6 ,6 servings,,,,,,,,,,,,,,,4.5,30,1 day
31,6737674,Lauren's Grapefruit Margaritas,10 mins,,10 mins,4 ,4 cocktails,4,235,0g,,,6mg,29g,1g,18g,1g,42mg,16mg,0mg,185mg,4.9,33,
32,6594053,Top Shelf Margaritas on the Rocks,10 mins,,10 mins,16 ,16 servings,,,,,,,,,,,,,,,4.7,20,
33,6592355,Joe's Perfect Anti-Sour Mix Margarita,10 mins,,10 mins,1 ,,1,314,0g,,,411mg,30g,,29g,,,7mg,,4mg,4.4,10,
34,6571281,Watermelon Margaritas,10 mins,,10 mins,4 ,4 margaritas,4,139,0g,,,2mg,21g,0g,19g,1g,11mg,8mg,0mg,104mg,4.5,6,
35,6570160,Mommy's Lemonade (Margaritas),5 mins,,35 mins,12 ,,12,207,0g,,,38mg,30g,0g,28g,,7mg,5mg,0mg,25mg,4.6,9,30 mins
36,6582340,Blue Lagoon Margarita,5 mins,,5 mins,1 ,,1,337,0g,,,10mg,45g,0g,,0g,9mg,15mg,0mg,86mg,5.0,4,
37,6573365,Margarita On The Rocks,5 mins,,5 mins,2 ,2 cocktails,2,317,0g,,,210mg,30g,,25g,,,5mg,0mg,8mg,4.6,34,
38,6590887,Kiwi Margarita,5 mins,,5 mins,4 ,,,,,,,,,,,,,,,,4.5,28,
39,6585544,Frozen Banana Margaritas,15 mins,,15 mins,8 ,,,,,,,,,,,,,,,,4.3,12,
40,6664618,Whole Lime Margarita,5 mins,,5 mins,6 ,6 margaritas,6,189,,,,84mg,22g,0g,21g,0g,2mg,5mg,0mg,10mg,3.9,9,
41,6598542,Mangorita,5 mins,,5 mins,1 ,,,,,,,,,,,,,,,,4.0,33,
42,6602432,Frozen Strawberry Margarita,10 mins,,10 mins,4 ,4 servings,,,,,,,,,,,,,,,4.6,58,
43,6587856,Purple and Gold Margarita,5 mins,,5 mins,1 ,,,,,,,,,,,,,,,,4.5,6,
44,6598237,Spicy Mezcal Margarita,15 mins,,15 mins,2 ,,2,146,0g,,,962mg,21g,1g,16g,1g,48mg,21mg,0mg,186mg,5.0,1,
45,6583569,Pegu Club Cocktail,5 mins,,5 mins,1 ,1 cocktail,1,236,0g,,,14mg,13g,0g,9g,0g,7mg,16mg,0mg,34mg,4.0,1,
46,6577070,Rhubarb Margarita,10 mins,20 mins, 2 hrs 30 mins,4 ,,4,210,0g,0g,,6mg,31g,2g,26g,1g,10mg,106mg,0mg,353mg,4.6,35, 2 hrs
47,6590238,Italian Amaretto Margaritas On the Rocks,5 mins,,5 mins,4 ,,,,,,,,,,,,,,,,4.3,13,
48,6575526,Austin Margarita (aka Mexican Martini),15 mins,,15 mins,1 ,1 cocktail,,,,,,,,,,,,,,,4.0,9,
49,6649216,Italian Amaretto Margaritas,10 mins,,10 mins,4 ,4 servings,,,,,,,,,,,,,,,4.6,85,
50,6649573,Gerry's Margarita,10 mins,,15 mins,1 ,1 margarita,1,322,,,,157mg,32g,0g,28g,0g,22mg,7mg,0mg,75mg,4.8,18,5 mins
51,6568225,Texatini,15 mins,,15 mins,1 ,1 serving,,,,,,,,,,,,,,,4.7,17,
52,6591580,Cranberry Margarita,10 mins,,10 mins,2 ,2 margaritas,2,240,0g,,,1180mg,40g,3g,19g,1g,59mg,38mg,1mg,132mg,4.5,2,
53,6576240,Mexican Martinis,10 mins,,10 mins,2 ,2 drinks,,,,,,,,,,,,,,,4.6,9,
54,6602332,Spicy Jalapeno-Infused Margarita,5 mins,,5 mins,1 ,1 margarita,1,373,0g,,,8mg,33g,0g,13g,0g,18mg,13mg,0mg,78mg,,,
55,6664196,Pickle Margarita,5 mins,,5 mins,1 ,1 margarita,1,300,0g,,,375mg,23g,0g,,0g,,,,53mg,5.0,2,
56,6566128,Ultimate Sangria Margarita,10 mins,,10 mins,4 ,1 pitcher,4,318,0g,,,11mg,32g,,25g,0g,5mg,6mg,0mg,35mg,,,
57,6600715,Strawberry Basil Margarita,5 mins,,5 mins,2 ,2 cocktails,,,,,,,,,,,,,,,4.6,57,
58,6567212,Peppermint Margarita,15 mins,,15 mins,24 ,24 servings,24,133,,,,2mg,23g,0g,15g,0g,4mg,3mg,0mg,13mg,,,
