,id_recipe,Prep Time:,Cook Time:,Rest Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Servings:,Yield:,Servings Per Recipe
0,7547750,20 mins, 4 hrs,10 mins, 4 hrs 30 mins,1259,70g,25g,264mg,5797mg,81g,3g,68g,75g,3mg,212mg,5mg,1161mg,4.8,6,,,,
1,6665053,15 mins, 2 hrs 50 mins,, 3 hrs 20 mins,488,23g,8g,88mg,782mg,52g,2g,42g,19g,2mg,83mg,3mg,459mg,4.6,857,15 mins,4 ,4 servings,4
2,6648925,30 mins, 1 hr 5 mins,, 1 hr 35 mins,441,30g,11g,117mg,582mg,17g,1g,11g,25g,2mg,65mg,3mg,469mg,4.7,760,,6 ,,6
3,6650417,10 mins, 4 hrs 15 mins,, 4 hrs 25 mins,501,30g,11g,117mg,1067mg,32g,1g,23g,24g,2mg,61mg,2mg,517mg,4.7,"1,300",,6 ,,6
4,6740986,10 mins,,,10 mins,27,0g,,,1311mg,7g,1g,5g,0g,1mg,13mg,1mg,56mg,4.5,661,,8 ,1/2 cup,8
5,6650589,15 mins, 3 hrs,, 3 hrs 15 mins,625,31g,11g,177mg,1228mg,39g,2g,26g,46g,18mg,86mg,3mg,739mg,4.4,641,,5 ,10 ribs,5
6,6650348,20 mins, 4 hrs,, 12 hrs 20 mins,943,61g,22g,241mg,702mg,37g,1g,30g,58g,2mg,132mg,5mg,781mg,4.7,333, 8 hrs,8 ,,8
7,6664250,5 mins, 1 hr 45 mins,, 1 hr 50 mins,441,22g,8g,128mg,4260mg,25g,1g,17g,33g,1mg,56mg,2mg,517mg,4.8,"1,857",,4 ,,4
8,6580194,15 mins, 1 hr,, 3 hrs 15 mins,577,40g,15g,160mg,415mg,8g,1g,4g,39g,2mg,81mg,3mg,562mg,4.5,24, 2 hrs,6 ,,6
9,6738263,5 mins,40 mins,, 2 hrs 45 mins,503,31g,11g,121mg,1015mg,23g,1g,18g,30g,3mg,62mg,3mg,407mg,4.4,128, 2 hrs,2 ,,2
10,6739096,10 mins, 2 hrs,, 2 hrs 10 mins,466,31g,11g,117mg,3592mg,24g,1g,15g,25g,5mg,105mg,3mg,439mg,4.6,80,,4 ,,4
11,6649775,15 mins, 2 hrs 30 mins,, 10 hrs 45 mins,697,37g,14g,170mg,1607mg,46g,1g,33g,43g,1mg,88mg,2mg,790mg,4.8,"2,031", 8 hrs,4 ,,4
12,6590447,10 mins, 3 hrs 35 mins,, 7 hrs 45 mins,246,15g,6g,60mg,855mg,12g,0g,8g,14g,0mg,37mg,1mg,234mg,4.5,8, 4 hrs,6 ,,6
13,6664461,10 mins,55 mins,, 1 hr 10 mins,335,23g,8g,88mg,3349mg,13g,2g,8g,20g,4mg,55mg,2mg,417mg,4.8,226,5 mins,4 ,,4
14,6649444,15 mins, 2 hrs,, 3 hrs 15 mins,504,30g,11g,120mg,715mg,23g,0g,20g,30g,9mg,76mg,3mg,489mg,4.8,"1,053", 1 hr,8 ,,8
15,6577377,5 mins,35 mins,,40 mins,615,44g,16g,176mg,415mg,16g,1g,12g,37g,2mg,79mg,3mg,565mg,4.3,22,,4 ,,4
16,6605066,15 mins,50 mins,, 1 hr 5 mins,246,13g,5g,77mg,706mg,11g,1g,5g,21g,8mg,46mg,2mg,425mg,4.5,202,,4 ,,4
17,6603266,5 mins, 1 hr,, 1 hr 20 mins,309,22g,8g,88mg,1286mg,8g,0g,4g,18g,0mg,36mg,1mg,267mg,4.9,10,15 mins,4 ,,4
18,6588112,15 mins, 1 hr,, 1 hr 15 mins,477,30g,11g,120mg,929mg,22g,0g,21g,30g,0mg,54mg,2mg,355mg,4.4,471,,8 ,,8
19,6648283,10 mins,40 mins,,55 mins,415,23g,8g,88mg,1175mg,33g,2g,25g,19g,4mg,76mg,3mg,469mg,4.7,95,5 mins,8 ,2 racks of ribs,8
20,6664051,10 mins, 1 hr,, 1 hr 10 mins,882,38g,14g,150mg,3518mg,94g,2g,67g,36g,4mg,96mg,3mg,965mg,4.6,586,,4 ,,4
21,6597143,10 mins, 3 hrs 10 mins,, 3 hrs 20 mins,487,30g,11g,120mg,792mg,23g,0g,16g,29g,0mg,54mg,2mg,447mg,4.0,10,,8 ,,8
22,6650947,15 mins, 2 hrs 15 mins,, 2 hrs 30 mins,748,54g,17g,181mg,1914mg,29g,1g,,37g,12mg,74mg,3mg,901mg,4.6,514,,6 ,,6
23,6663694,10 mins, 4 hrs 5 mins,, 4 hrs 25 mins,453,19g,6g,60mg,2060mg,55g,2g,40g,15g,3mg,55mg,2mg,487mg,4.7,31,10 mins,4 ,,4
24,6738157,20 mins, 4 hrs,, 5 hrs,827,59g,22g,234mg,284mg,23g,2g,18g,49g,3mg,122mg,4mg,759mg,4.6,140,40 mins,10 ,10 pounds,10
25,6601225,15 mins,50 mins,, 1 hr 5 mins,465,30g,11g,117mg,1388mg,24g,1g,16g,24g,1mg,60mg,2mg,464mg,4.7,74,,4 ,1 rack of ribs,4
26,6587394,15 mins, 1 hr,, 1 hr 15 mins,669,34g,12g,120mg,2482mg,59g,1g,51g,32g,1mg,63mg,3mg,407mg,4.7,244,,4 ,,4
27,6600166,20 mins, 3 hrs 30 mins,, 7 hrs 50 mins,927,61g,22g,240mg,1506mg,33g,3g,25g,59g,13mg,147mg,6mg,876mg,4.7,150, 4 hrs,6 ,,6
28,6736372,10 mins, 3 hrs,, 7 hrs 25 mins,400,30g,11g,120mg,1084mg,1g,0g,0g,29g,0mg,52mg,2mg,335mg,4.4,41, 4 hrs 15 mins,8 ,,8
29,6575649,10 mins, 5 hrs,, 5 hrs 10 mins,524,30g,11g,120mg,1026mg,34g,0g,32g,30g,5mg,67mg,2mg,478mg,4.6,82,,12 ,,12
30,6592913,10 mins, 1 hr,, 1 hr 10 mins,978,61g,22g,241mg,943mg,43g,7g,4g,62g,42mg,137mg,6mg,1556mg,4.0,23,,4 ,,4
31,6589280,10 mins, 8 hrs,, 8 hrs 10 mins,665,36g,13g,224mg,2066mg,21g,0g,,60g,7mg,92mg,4mg,1215mg,4.3,183,,6 ,,6
32,6594810,10 mins, 3 hrs 30 mins,, 4 hrs 40 mins,1098,85g,30g,276mg,1583mg,24g,2g,20g,57g,5mg,144mg,21mg,1016mg,4.8,17, 1 hr,4 ,,4
33,6579764,20 mins,40 mins,, 1 hr,461,32g,12g,125mg,1327mg,11g,3g,1g,34g,74mg,157mg,6mg,710mg,4.6,637,,6 ,,6
34,6736732,30 mins, 3 hrs,, 11 hrs 30 mins,588,38g,14g,170mg,1041mg,19g,1g,15g,44g,10mg,108mg,4mg,753mg,4.7,509, 8 hrs,8 ,8 servings,8
35,6649126,20 mins, 2 hrs 40 mins,, 3 hrs 10 mins,1029,68g,23g,234mg,1720mg,53g,2g,46g,50g,11mg,156mg,5mg,1198mg,4.8,"1,402",10 mins,4 ,,4
36,6601871,,,,,773,59g,19g,198mg,710mg,19g,1g,17g,39g,3mg,54mg,3mg,697mg,4.4,91,,11 ,10 to 12 servings,11
37,6589331,15 mins, 2 hrs 30 mins,, 2 hrs 45 mins,634,32g,11g,179mg,872mg,36g,1g,25g,48g,11mg,89mg,3mg,813mg,4.5,28,,4 ,,4
38,6569844,15 mins,35 mins,, 1 hr 20 mins,445,29g,9g,88mg,1070mg,27g,1g,20g,18g,1mg,47mg,1mg,384mg,4.6,24,30 mins,4 ,4 servings,4
39,6569186,30 mins, 1 hr 10 mins,, 5 hrs 40 mins,473,39g,12g,117mg,422mg,6g,0g,4g,25g,9mg,67mg,2mg,374mg,4.9,9, 4 hrs,6 ,6 servings,6
40,6649136,15 mins, 4 hrs 30 mins,, 4 hrs 45 mins,355,18g,7g,83mg,623mg,15g,0g,11g,30g,1mg,13mg,1mg,545mg,4.8,"3,668",,12 ,12 servings,12
41,6739574,10 mins, 8 hrs 30 mins,, 8 hrs 40 mins,497,30g,11g,117mg,1245mg,33g,1g,26g,26g,15mg,77mg,2mg,698mg,4.5,"2,144",,8 ,8 servings,8
42,6570594,10 mins, 8 hrs 2 mins,, 8 hrs 12 mins,278,17g,6g,60mg,1836mg,15g,0g,11g,15g,1mg,30mg,1mg,233mg,4.0,3,,4 ,1 pound of ribs,4
43,6649972,20 mins, 1 hr 30 mins,, 1 hr 50 mins,519,36g,15g,132mg,721mg,25g,0g,21g,25g,6mg,82mg,2mg,571mg,4.8,305,,8 ,8 servings,8
44,6572008,30 mins, 5 hrs,, 13 hrs 30 mins,615,31g,11g,127mg,991mg,53g,2g,48g,33g,14mg,80mg,3mg,729mg,4.7,359, 8 hrs,12 ,12 servings,12
45,6602097,5 mins, 1 hr,, 1 hr 20 mins,497,30g,11g,120mg,1963mg,24g,1g,16g,29g,1mg,72mg,2mg,485mg,5.0,3,15 mins,4 ,4 servings,4
46,6739455,10 mins, 2 hrs 50 mins,, 11 hrs,963,52g,18g,180mg,8820mg,81g,6g,33g,45g,21mg,228mg,7mg,860mg,4.5,32, 8 hrs,4 ,4 large sandwiches,4
47,6582371,15 mins, 1 hr 25 mins,, 3 hrs 40 mins,485,30g,11g,117mg,411mg,31g,0g,14g,24g,1mg,55mg,2mg,370mg,4.6,216, 2 hrs,6 ,6 servings,6
48,6601477,30 mins, 2 hrs,, 10 hrs 30 mins,,,,,,,,,,,,,,4.7,14, 8 hrs,8 ,8 servings,
49,6568741,10 mins, 9 hrs,, 17 hrs 10 mins,653,44g,13g,177mg,2529mg,14g,1g,10g,48g,3mg,80mg,3mg,625mg,4.1,222, 8 hrs,6 ,6 servings,6
50,6602816,15 mins, 1 hr 20 mins,, 5 hrs 35 mins,855,63g,22g,240mg,1088mg,11g,0g,9g,59g,0mg,110mg,5mg,683mg,4.0,38, 4 hrs,2 ,2 servings,2
51,6600258,,,,,598,35g,11g,171mg,755mg,21g,4g,13g,47g,3mg,83mg,3mg,1193mg,4.5,112,,6 ,4 to 6 ,6
52,6599583,30 mins, 8 hrs 15 mins,, 8 hrs 45 mins,483,31g,11g,120mg,1075mg,19g,1g,11g,31g,43mg,74mg,3mg,588mg,4.2,342,,4 ,4 servings,4
53,6571404,5 mins, 1 hr 15 mins,, 1 hr 20 mins,244,19g,6g,60mg,536mg,4g,1g,2g,15g,4mg,45mg,1mg,233mg,4.0,25,,4 ,4 servings,4
54,6603621,15 mins, 1 hr 30 mins,, 1 hr 45 mins,558,30g,11g,117mg,919mg,50g,1g,36g,26g,11mg,73mg,2mg,467mg,4.5,86,,6 ,6 servings,6
55,6574697,15 mins, 4 hrs 10 mins,, 4 hrs 25 mins,437,23g,8g,88mg,2019mg,31g,1g,25g,19g,7mg,86mg,19mg,574mg,4.3,4,,4 ,4 servings,4
56,6574249,15 mins, 2 hrs,, 2 hrs 15 mins,935,61g,22g,234mg,1439mg,38g,2g,4g,54g,3mg,218mg,6mg,785mg,4.3,8,,4 ,4 servings,4
57,6575380,15 mins, 1 hr 30 mins,, 1 hr 45 mins,774,32g,11g,119mg,3235mg,90g,4g,72g,30g,11mg,101mg,4mg,848mg,4.8,73,,4 ,4 servings,4
58,6598907,10 mins, 4 hrs 30 mins,, 4 hrs 40 mins,1700,135g,50g,536mg,1688mg,4g,1g,2g,111g,2mg,220mg,7mg,1490mg,,,,12 ,,12
59,6598190,10 mins, 4 hrs 15 mins,, 4 hrs 25 mins,323,21g,7g,75mg,861mg,14g,1g,12g,19g,8mg,52mg,2mg,383mg,4.6,76,,8 ,8 servings,8
60,6585065,10 mins, 4 hrs 5 mins,, 4 hrs 15 mins,507,37g,14g,146mg,1966mg,9g,0g,7g,33g,1mg,73mg,3mg,511mg,4.6,11,,4 ,,4
61,6585563,15 mins, 2 hrs 50 mins,, 3 hrs 5 mins,699,34g,12g,117mg,1713mg,61g,1g,10g,31g,2mg,78mg,5mg,473mg,5.0,2,,6 ,,6
