,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron
0,6650325,Homemade Dog Treats (Peanut Butter and Pumpkin),15 mins,40 mins,55 mins,25 ,25 treats,25,56,1g,0g,15mg,63mg,9g,2g,3g,73mg,4.8,"1,250",,,,,
1,6664740,Homemade Dog Food,5 mins,25 mins,30 mins,5 ,10 cups,5,440,10g,3g,72mg,118mg,64g,5g,23g,516mg,4.6,327,,,,,
2,6740871,Doggie Birthday Cake,15 mins,40 mins, 1 hr 5 mins,6 ,1 (6-cup) ring mold,,,,,,,,,,,4.8,595,10 mins,,,,
3,6584171,Birthday Cake for Your Cat,10 mins,15 mins,30 mins,2 ,,2,145,1g,0g,45mg,96mg,6g,0g,26g,253mg,4.5,27,5 mins,0g,0mg,18mg,2mg
4,6648863,Lucky and Rippy's Favorite Dog Food,15 mins,35 mins, 1 hr 50 mins,12 ,12 cups,,,,,,,,,,,4.7,71, 1 hr,,,,
5,6737395,Super Simple Sweet Potato Dog Treats,15 mins,35 mins, 1 hr,32 ,,32,43,1g,0g,12mg,9mg,9g,1g,2g,68mg,4.7,126,10 mins,1g,0mg,7mg,1mg
6,6569249,Homemade Dog Liver Bites,20 mins,30 mins,50 mins,50 ,50 bites,50,25,1g,0g,24mg,5mg,3g,0g,1g,19mg,4.9,35,,,1mg,3mg,1mg
7,6605911,Homemade Grain-Free Dog Food,25 mins,25 mins,50 mins,10 ,10 cups,10,291,12g,3g,242mg,144mg,7g,2g,37g,490mg,4.7,10,,4g,9mg,52mg,3mg
8,6602865,Homemade Dog Treats (Tango's Treats),10 mins,15 mins,30 mins,20 ,20 dog treats,20,72,4g,1g,19mg,29mg,6g,1g,3g,97mg,4.7,24,5 mins,2g,1mg,12mg,1mg
9,6561815,Homemade Dog Food with Beef,15 mins, 1 hr, 1 hr 45 mins,6 ,18 cups,6,846,27g,9g,258mg,369mg,107g,9g,43g,1161mg,4.8,8,30 mins,5g,14mg,196mg,8mg
10,6650065,Peanut Butter and Banana Dog Biscuits,25 mins,30 mins,55 mins,10 ,10 servings,,,,,,,,,,,4.9,415,,,,,
11,6649026,Diabetic Dog Treats,10 mins,15 mins,25 mins,36 ,2 pounds,,,,,,,,,,,4.9,136,,,,,
12,6569540,Doggy Meatloaf with Vegetables,15 mins, 1 hr 20 mins, 1 hr 35 mins,12 ,4 meatloaves,,,,,,,,,,,4.5,23,,,,,
13,6576912,Brie's Banana and Honey Dog Treats,15 mins,50 mins, 1 hr 15 mins,72 ,7 dozen dog treats,72,31,0g,,2mg,8mg,7g,1g,1g,43mg,3.7,72,10 mins,1g,0mg,7mg,0mg
14,6575960,Birthday Bones,15 mins,20 mins,35 mins,18 ,18 treats,,,,,,,,,,,4.8,393,,,,,
15,6582911,Bacon-Flavored Dog Biscuits,20 mins,40 mins, 1 hr,25 ,25 servings,,,,,,,,,,,4.7,166,,,,,
16,6736818,Doggie Biscuits,25 mins,20 mins, 1 hr 5 mins,36 ,3 dozen treats,,,,,,,,,,,4.4,155,20 mins,,,,
17,6574716,Peanut Butter and Carrot Dog Treats,40 mins,40 mins, 1 hr 25 mins,300 ,300 3/4-inch dog treats,300,9,0g,0g,1mg,4mg,1g,0g,0g,7mg,5.0,9,5 mins,0g,,1mg,0mg
18,6582338,Flea Terminator Dog Treats,30 mins,20 mins, 3 hrs 50 mins,36 ,2 pounds,,,,,,,,,,,4.1,74, 3 hrs,,,,
19,6649015,Sweet Potato Bird Balls,20 mins,5 mins,40 mins,80 ,80 bird balls,,,,,,,,,,,4.4,8,15 mins,,,,
20,6576848,Homemade Dog Food with Chicken,10 mins,35 mins, 1 hr 5 mins,10 ,2 1/2 cups,10,386,22g,6g,113mg,369mg,11g,2g,33g,315mg,5.0,1,20 mins,1g,4mg,35mg,3mg
21,6581506,Poochie Meat Cakes,35 mins, 1 hr 15 mins, 2 hrs,36 ,36 meat cakes,,,,,,,,,,,4.7,49,10 mins,,,,
22,6596592,Pumpkin Apple Dog Treats,15 mins,15 mins,30 mins,24 ,,24,64,1g,0g,8mg,28mg,11g,2g,2g,82mg,4.3,7,,1g,1mg,12mg,1mg
23,6579266,Good Dog Cookies,,,,6 ,1 dozen,6,417,20g,3g,34mg,384mg,49g,6g,14g,494mg,4.7,138,,13g,1mg,214mg,2mg
