,id_recipe,name,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Cool Time:,Yield:,Saturated Fat,Cholesterol,Bake Time:,Additional Time:
0,6762068,Cranberry Jalapeño Dip,15 mins,15 mins,4 ,4,363,0g,882mg,94g,7g,81g,1g,38mg,35mg,1mg,255mg,4.8,4,,,,,,,
1,7642173,Caramel Apple Pie Cookies,30 mins,52 mins,20 ,20,112,5g,102mg,16g,1g,5g,1g,0mg,6mg,0mg,25mg,4.0,1,12 mins,20 mins,20 cookies plus scraps,2g,0mg,,
2,7968339,Ultimate Thanksgiving Leftovers Burger,15 mins,25 mins,4 ,4,1892,145g,2933mg,108g,5g,59g,40g,6mg,192mg,5mg,613mg,,,10 mins,,4 burgers,27g,224mg,,
3,7967888,Sweet Potato Cobbler,40 mins, 2 hrs 5 mins,12 ,12,621,26g,399mg,92g,6g,42g,6g,18mg,70mg,3mg,523mg,,, 1 hr 10 mins,15 mins,,11g,20mg,,
4,6594923,Turkey à la King,10 mins,25 mins,4 ,4,233,19g,92mg,5g,1g,1g,12g,3mg,33mg,1mg,192mg,4.5,251,15 mins,,,11g,83mg,,
5,6583667,Roasted Butternut Squash Salad,25 mins, 1 hr,6 ,6,197,11g,203mg,22g,4g,12g,6g,10mg,59mg,1mg,473mg,5.0,1,35 mins,,,2g,11mg,,
6,7112390,Grandma's Pumpkin Something,10 mins, 1 hr 10 mins,16 ,16,333,19g,448mg,40g,3g,,4g,,,,203mg,,,,,,7g,60mg, 1 hr,
7,6651000,Carrot Cake Cupcakes with Cream Cheese Frosting,25 mins, 1 hr 15 mins,18 ,18,428,23g,335mg,52g,2g,38g,5g,2mg,92mg,1mg,175mg,4.5,2,20 mins,,18 cupcakes,9g,73mg,,30 mins
8,6650468,Classic Ham Glaze,5 mins,5 mins,12 ,12,117,,6mg,31g,,30g,0g,5mg,17mg,0mg,52mg,4.8,76,,,,,,,
9,6561970,Sweet Potato Casserole with Cornflakes,15 mins,45 mins,10 ,10,436,18g,166mg,63g,6g,31g,7g,6mg,144mg,2mg,749mg,5.0,1,30 mins,,,9g,75mg,,
