,id_recipe,Cook Time:,Chill Time:,Rest Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Prep Time:,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron,Marinate Time:,Yield:
0,7097119, 2 hrs 40 mins, 8 hrs,10 mins, 10 hrs 50 mins,10 ,10,637,53g,22g,154mg,101mg,0g,0g,37g,610mg,,,,,,,,,,
1,6580330,45 mins,,, 1 hr 25 mins,16 ,16,509,40g,15g,120mg,478mg,1g,0g,34g,489mg,4.9,195,15 mins,25 mins,0g,1mg,24mg,5mg,,
2,7509081,30 mins,,, 7 hrs,4 ,4,835,68g,17g,122mg,772mg,21g,5g,37g,866mg,5.0,3,30 mins,,9g,53mg,110mg,6mg, 6 hrs,
3,6664666,50 mins,,, 1 hr 15 mins,6 ,6,946,66g,23g,134mg,461mg,44g,2g,42g,826mg,4.6,196,20 mins,5 mins,3g,6mg,31mg,7mg,,
4,6738605,40 mins,,, 1 hr 10 mins,8 ,8,744,57g,21g,131mg,434mg,30g,1g,26g,385mg,4.5,381,30 mins,,1g,1mg,30mg,5mg,,
5,6591433,15 mins,,,45 mins,2 ,2,444,35g,12g,166mg,926mg,3g,0g,27g,385mg,4.9,38,15 mins,15 mins,1g,4mg,48mg,4mg,,
6,6663304,45 mins,,, 1 hr,6 ,6,591,33g,17g,220mg,2047mg,2g,0g,67g,896mg,4.7,761,5 mins,10 mins,1g,,52mg,5mg,,1 tenderloin roast
7,6737851,25 mins,,,35 mins,4 ,4,319,19g,7g,63mg,424mg,12g,2g,19g,698mg,4.9,37,10 mins,,6g,45mg,41mg,4mg,,
8,6579911,35 mins,,,50 mins,8 ,8,235,11g,4g,90mg,358mg,0g,0g,32g,415mg,5.0,2,5 mins,10 mins,,0mg,24mg,2mg,,
9,6649676,10 mins,,,15 mins,2 ,2,367,26g,11g,81mg,64mg,6g,0g,20g,402mg,4.5,"1,451",5 mins,,5g,0mg,22mg,3mg,,
10,6581425, 8 hrs 15 mins,,, 8 hrs 45 mins,8 ,8,295,14g,5g,57mg,66mg,20g,3g,22g,839mg,4.5,35,30 mins,,5g,114mg,50mg,4mg,,10 cups
11,6598937,,,,40 mins,6 ,6,231,18g,7g,85mg,73mg,0g,0g,15g,243mg,4.6,15,10 mins,30 mins,0g,0mg,12mg,2mg,,6 servings
12,6649904, 1 hr 5 mins,,, 2 hrs 20 mins,6 ,6,489,25g,11g,173mg,149mg,6g,1g,57g,767mg,4.9,161,15 mins, 1 hr,1g,4mg,54mg,5mg,,6 servings
13,6583477,30 mins,,,40 mins,4 ,4,267,20g,6g,40mg,538mg,9g,2g,12g,372mg,4.4,91,10 mins,,4g,27mg,26mg,2mg,,4 servings
14,6601117, 5 hrs,,, 5 hrs 20 mins,10 ,10,399,10g,4g,76mg,470mg,45g,7g,30g,1527mg,4.8,12,20 mins,,10g,74mg,86mg,4mg,,10 servings
15,6738795,30 mins,,,35 mins,4 ,4,567,42g,16g,136mg,484mg,6g,1g,36g,734mg,4.7,69,5 mins,,4g,3mg,23mg,5mg,,4 servings
16,6594667,,,,,2 ,2,771,56g,20g,207mg,391mg,1g,0g,61g,899mg,4.6,15,,,,1mg,25mg,8mg,,2 servings
17,6665744,25 mins,,,50 mins,4 ,4,402,28g,13g,85mg,463mg,9g,1g,25g,424mg,4.7,507,10 mins,15 mins,1g,3mg,155mg,3mg,,4 servings
18,6663580,15 mins,,,45 mins,8 ,8,201,7g,1g,7mg,368mg,32g,1g,4g,228mg,4.6,25,30 mins,,5g,7mg,35mg,2mg,,8 servings
19,6737308,15 mins,,,30 mins,2 ,2,1050,55g,24g,247mg,2593mg,44g,3g,71g,918mg,4.7,92,15 mins,,5g,6mg,107mg,9mg,,2 servings
20,6595716,20 mins,,,30 mins,6 ,6,467,39g,13g,81mg,272mg,4g,0g,21g,392mg,4.2,48,10 mins,,1g,2mg,20mg,3mg,,6 servings
21,6573786,10 mins,,, 1 hr 10 mins,2 ,2,711,50g,19g,219mg,207mg,,,62g,767mg,4.3,59, 1 hr,,,,48mg,4mg,,2 servings
22,6664132, 1 hr 15 mins,,, 2 hrs 20 mins,4 ,4,1330,100g,36g,235mg,870mg,59g,2g,46g,756mg,4.8,33,45 mins,20 mins,2g,2mg,50mg,9mg,,4 servings
23,6597853,5 mins,,,45 mins,6 ,6,329,27g,8g,60mg,458mg,3g,1g,18g,292mg,4.0,9,30 mins,10 mins,0g,3mg,25mg,3mg,,6 servings
24,6593434, 1 hr 30 mins,,, 1 hr 45 mins,6 ,6,653,51g,20g,132mg,645mg,12g,1g,32g,784mg,4.8,"1,330",15 mins,,2g,6mg,51mg,5mg,,6 servings
25,6648385,15 mins,,,20 mins,2 ,2,611,35g,12g,196mg,444mg,2g,0g,67g,905mg,4.6,261,5 mins,,0g,1mg,47mg,4mg,,2 filet mignons
26,6583140,15 mins,,,25 mins,2 ,2,761,48g,19g,290mg,1033mg,2g,,76g,1328mg,4.3,8,10 mins,,,8mg,119mg,8mg,,2 servings
27,6570896,15 mins,,,25 mins,4 ,4,549,47g,24g,176mg,209mg,5g,1g,28g,490mg,4.6,148,10 mins,,0g,1mg,71mg,5mg,,4 servings
28,6584738,40 mins,,, 1 hr,6 ,6,353,26g,10g,80mg,535mg,5g,1g,24g,405mg,4.4,44,20 mins,,1g,17mg,26mg,3mg,,
29,6599482,15 mins,,,35 mins,2 ,2,777,63g,26g,317mg,534mg,10g,0g,38g,591mg,4.7,71,20 mins,,1g,7mg,94mg,6mg,,2 servings
30,6583960,25 mins,,,40 mins,4 ,4,332,20g,8g,65mg,387mg,8g,1g,20g,658mg,4.7,116,15 mins,,2g,4mg,23mg,6mg,,2 steaks
31,6584914,30 mins,,,40 mins,4 ,4,585,41g,21g,236mg,902mg,1g,0g,52g,776mg,4.8,148,10 mins,,0g,0mg,44mg,5mg,,4 steaks
32,6595492,40 mins,,,45 mins,1 ,1,1779,184g,28g,89mg,846mg,2g,0g,33g,440mg,,,5 mins,,0g,3mg,37mg,3mg,,1 steak
33,6599129, 1 hr 30 mins,,, 1 hr 45 mins,6 ,6,398,17g,7g,96mg,354mg,6g,0g,31g,643mg,4.5,89,15 mins,,2g,1mg,28mg,5mg,,
34,6599860, 2 hrs 15 mins,,, 2 hrs 35 mins,8 ,8,350,21g,7g,58mg,97mg,16g,3g,20g,592mg,4.3,24,20 mins,,7g,11mg,44mg,3mg,,
35,6571708,19 mins,,,29 mins,2 ,2,561,31g,16g,185mg,289mg,3g,1g,50g,713mg,5.0,8,10 mins,,0g,1mg,59mg,4mg,,
