,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C,Bake Time:,Rest Time:,Additional Time:
0,6649653,Homemade Dumplings,5 mins,15 mins,20 mins,6 ,6 dumplings,6,105,2g,1g,2mg,386mg,18g,1g,2g,3g,118mg,1mg,54mg,4.7,"1,660",,,,
1,6664138,Gnocchi,30 mins,30 mins, 1 hr,4 ,,4,329,2g,1g,53mg,22mg,67g,3g,1g,10g,23mg,3mg,397mg,4.3,665,7mg,,,
2,7369568,Beef and Mushroom Dumplings in Broth,45 mins,10 mins,55 mins,4 servings,36 to 40 dumplings,4,888,45g,12g,181mg,2899mg,63g,4g,7g,55g,161mg,8mg,1116mg,4.8,24,11mg,,,
3,7254880,Collard Green Wontons,20 mins,20 mins,40 mins,6 servings,,,,,,,,,,,,,,,,,,,,
4,6748210,Manti (Armenian Dumplings),40 mins,, 2 hrs 5 mins,6 ,42 dumplings (manti),6,257,15g,5g,65mg,1014mg,20g,1g,,11g,,,220mg,5.0,3,,55 mins,30 mins,
5,6745286,Farmer Cheese Dumplings,30 mins, 1 hr 15 mins, 1 hr 45 mins,6 ,6 dumplings,6,325,20g,12g,117mg,1730mg,16g,1g,,20g,,,259mg,4.7,3,,,,
6,6649396,Perfect Pot Stickers,25 mins,5 mins, 1 hr,6 ,32 pot stickers,6,439,19g,6g,55mg,1453mg,46g,2g,4g,20g,42mg,4mg,391mg,4.7,112,11mg,,,30 mins
7,6648931,Real Homemade Tamales,30 mins, 3 hrs, 3 hrs 30 mins,16 ,16 tamales,16,246,15g,6g,45mg,387mg,16g,2g,2g,12g,61mg,2mg,242mg,4.5,302,1mg,,,
8,6663244,Pork Dumplings,45 mins,15 mins, 1 hr,10 ,100 dumplings,10,752,29g,9g,129mg,1449mg,81g,3g,1g,39g,143mg,6mg,643mg,4.6,380,19mg,,,
9,6664208,Haluski - Cabbage and Noodles,15 mins,45 mins, 1 hr,12 ,,12,319,17g,10g,72mg,152mg,36g,5g,6g,7g,71mg,2mg,334mg,4.7,171,45mg,,,
10,6736463,Grandma's Polish Perogies, 1 hr,40 mins, 1 hr 40 mins,20 ,60 perogies,20,281,11g,6g,50mg,351mg,38g,3g,1g,8g,101mg,2mg,440mg,4.7,487,17mg,,,
11,6663520,German Spaetzle Dumplings,25 mins,10 mins,35 mins,6 ,,6,141,6g,3g,73mg,269mg,17g,1g,1g,5g,47mg,1mg,75mg,4.5,712,2mg,,,
12,6606132,Wonton Wrappers,30 mins,,30 mins,72 ,72 wonton wrappers,72,14,0g,,3mg,17mg,3g,0g,,0g,1mg,0mg,5mg,4.5,245,,,,
13,6575028,Jamaican Fried Dumplings,10 mins,10 mins,20 mins,6 ,,6,472,20g,10g,41mg,855mg,64g,2g,0g,9g,108mg,4mg,94mg,4.3,69,,,,
14,6650684,Chinese Pork Dumplings,20 mins, 1 hr, 1 hr 20 mins,5 ,50 dumplings,5,540,25g,7g,103mg,2373mg,50g,2g,1g,28g,91mg,5mg,403mg,4.8,214,2mg,,,
15,6664718,Super Easy Chicken and Dumplings,5 mins,15 mins,20 mins,8 ,,8,400,18g,5g,50mg,1924mg,36g,1g,6g,22g,53mg,3mg,243mg,4.6,223,0mg,,,
16,6740841,Wonton Soup,30 mins,10 mins, 1 hr 5 mins,6 ,,6,195,6g,2g,44mg,887mg,21g,1g,,13g,30mg,2mg,195mg,4.5,413,1mg,,,25 mins
17,6663984,Best Pennsylvania Dutch Chicken Corn Soup,30 mins, 2 hrs 30 mins, 9 hrs,12 ,,12,437,19g,5g,147mg,1576mg,31g,3g,5g,38g,57mg,3mg,487mg,4.6,85,7mg,,, 6 hrs
18,6581973,Beef Tamales,30 mins, 4 hrs 30 mins, 5 hrs,36 ,6 dozen tamales,36,347,24g,9g,38mg,248mg,23g,3g,0g,9g,47mg,3mg,195mg,4.5,197,0mg,,,
19,6570672,Perogies,45 mins,5 mins,50 mins,16 ,16 perogies,16,376,20g,7g,44mg,717mg,40g,4g,2g,11g,77mg,2mg,646mg,4.1,112,22mg,,,
20,6581115,Mom's Hearty Beef Stew with Dumplings,30 mins, 3 hrs 10 mins, 3 hrs 40 mins,8 ,,8,515,15g,5g,62mg,1261mg,65g,7g,5g,30g,173mg,5mg,1306mg,4.7,67,42mg,,,
21,6598403,Chicken and Gnocchi Soup,20 mins,20 mins,40 mins,6 ,,6,398,20g,10g,112mg,839mg,24g,2g,3g,30g,162mg,2mg,696mg,4.7,"1,166",13mg,,,
22,6649852,Homemade Manti (Traditional Turkish Dumplings),35 mins,25 mins, 1 hr 30 mins,4 ,,4,560,23g,7g,120mg,440mg,64g,4g,9g,23g,163mg,5mg,566mg,4.6,38,11mg,,,30 mins
23,6581478,Gnocchi with Sage-Butter Sauce,10 mins,10 mins,20 mins,2 ,,2,768,52g,32g,140mg,977mg,62g,4g,0g,16g,290mg,3mg,485mg,4.4,338,7mg,,,
24,6649393,Kartoffelklöße (German Potato Dumplings),20 mins,55 mins, 1 hr 25 mins,8 ,8 large dumplings,8,272,13g,8g,77mg,104mg,33g,3g,1g,6g,37mg,2mg,436mg,4.4,28,18mg,,,10 mins
25,6736522,Pierogi (Polish Dumplings),25 mins,15 mins,40 mins,12 ,48 perogies,12,253,11g,6g,68mg,698mg,33g,2g,2g,6g,119mg,2mg,231mg,4.5,392,6mg,,,
26,6596212,Käsespätzle,10 mins,20 mins, 1 hr,8 ,,8,245,13g,8g,102mg,377mg,20g,1g,1g,12g,249mg,2mg,113mg,4.7,166,1mg,,,30 mins
27,6651161,Chicken Stew with Dumplings,20 mins,45 mins, 1 hr 5 mins,8 ,,8,464,21g,9g,96mg,1161mg,38g,4g,3g,30g,157mg,4mg,645mg,4.7,147,16mg,,,
28,6741022,Old-Fashioned Chicken and Dumplings,15 mins,45 mins, 1 hr,20 ,,20,400,26g,8g,133mg,700mg,9g,1g,1g,31g,51mg,2mg,353mg,4.3,159,4mg,,,
29,6589171,Russian Pelmeni, 1 hr,20 mins, 2 hrs 20 mins,12 ,100 pelmeni,12,212,7g,3g,41mg,800mg,25g,1g,0g,11g,13mg,2mg,114mg,4.7,20,0mg,,, 1 hr
30,6568789,Rolled Dumplings,20 mins,15 mins,35 mins,8 ,,8,204,9g,2g,4mg,807mg,25g,1g,,4g,90mg,2mg,57mg,4.7,276,,,,
31,6664311,Ricotta Gnocchi,45 mins,15 mins, 1 hr,5 ,,5,442,26g,12g,131mg,906mg,27g,2g,4g,22g,521mg,4mg,252mg,4.5,709,7mg,,,
32,6737372,Chicken and Biscuit Casserole,30 mins, 1 hr, 1 hr 30 mins,6 ,1 9x13-inch dish,6,451,13g,6g,96mg,2015mg,48g,3g,8g,34g,90mg,4mg,495mg,4.5,"1,183",6mg,,,
33,6605456,Knoephla Soup,15 mins,55 mins, 1 hr 10 mins,10 ,10 servings,10,258,13g,7g,51mg,453mg,30g,2g,4g,7g,114mg,2mg,435mg,4.8,31,13mg,,,
34,6584546,Poblano and Cheese Tamales (Tamales de Rajas con Queso), 1 hr, 2 hrs, 3 hrs 25 mins,24 ,24 tamales,24,252,18g,7g,23mg,198mg,19g,4g,2g,5g,145mg,2mg,175mg,4.9,7,13mg,,,25 mins
35,6570926,Air Fryer Potstickers,15 mins,25 mins,45 mins,24 ,24 potstickers,24,70,3g,1g,5mg,273mg,9g,0g,0g,3g,8mg,1mg,39mg,3.5,4,0mg,,,5 mins
36,6600597,Pierogi Dough,,,,30 ,25 to 30 pierogi,30,66,1g,0g,6mg,84mg,13g,1g,0g,2g,6mg,1mg,20mg,4.2,75,,,,
