,id_recipe,Step_Count,Step Description
0,7968859,1,"Add andouille to a dry soup pot and place over medium heat. Cook, stirring, until sausage begins to brown, a few minutes."
1,7968859,2,"Add all the olive oil, unless a lot of fat was rendered from the sausage, in which case adjust the amount of oil added."
2,7968859,3,"Add onion, green pepper, celery, and 1/4 teaspoon salt. Cook, stirring, until onions turn translucent, about 5 minutes."
3,7968859,4,"Add paprika, cumin, black pepper, thyme, oregano, and bay leaf. Cook, stirring, for 2 minutes more."
4,7968859,5,"Stir in broth, raise heat to high, and bring to a simmer. Reduce heat to medium low and stir in chicken, ham, and sliced okra.For nice tender lentils, do not use a salted broth, or add any additional salt. This can prevent the lentils from getting tender. Once lentils have softened up near the end of the cooking time, more salt can be added to taste."
5,7968859,6,"Cook for 10 minutes, then stir in lentils. Simmer soup, stirring occasionally, until lentils are tender, about 1 hour."
6,7968859,7,"Stir in Worcestershire sauce, hot sauce, parsley, and green onions, and cook for another few minutes. Season to taste with salt. Serve with rice, more green onions, and a shake of cayenne.Chef John"
7,6664679,1,Gather all ingredients.Dotdash Meredith Food Studios
8,6664679,2,"Make the roux: Whisk together flour and 3/4 cup bacon drippings in a large, heavy saucepan over medium-low heat until smooth. Cook roux, whisking constantly, until it turns a rich mahogany brown color. This can take 20 to 30 minutes; watch heat carefully and whisk constantly or roux will burn. Remove from heat; continue whisking until mixture stops cooking.Dotdash Meredith Food Studios"
9,6664679,3,"Make the gumbo: Place celery, onion, green bell pepper, and garlic into the work bowl of a food processor, and pulse until all vegetables are very finely chopped."
10,6664679,4,"Stir vegetables into the roux, and mix in sausage. Bring mixture to a simmer over medium-low heat, and cook until vegetables are tender, 10 to 15 minutes. Remove from heat and set aside.Dotdash Meredith Food Studios"
11,6664679,5,"Combine water and beef bouillon cubes in a large Dutch oven or soup pot and bring to a boil over medium-high heat. Stir until bouillon cubes dissolve, then whisk roux mixture into the boiling water."
12,6664679,6,"Reduce heat to a simmer and mix in sugar, salt, hot pepper sauce, Cajun seasoning, bay leaves, thyme, stewed tomatoes, and tomato sauce. Simmer soup over low heat for 1 hour; mix in 2 teaspoons of file gumbo powder at the 45-minute mark."
13,6664679,7,"Meanwhile, melt 2 tablespoons bacon drippings in a skillet over medium heat. Add okra and vinegar and cook for 15 minutes; remove okra with a slotted spoon, and stir into the simmering gumbo."
14,6664679,8,"Mix in crabmeat, shrimp, and Worcestershire sauce, and simmer until flavors have blended, 45 more minutes. Stir in 2 more teaspoons of file gumbo powder just before serving.Dotdash Meredith Food Studios"
15,6664679,9,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
16,6648529,1,"Heat oil in a stockpot over medium heat; whisk in flour until roux is smooth and has cooked to the color of chocolate milk, about 8 to 10 minutes. Be careful not to burn the roux. If you see black specks in the mixture, it's best to start over."
17,6648529,2,"Add sausage, celery, bell pepper, and onion into the roux; cook and stir 5 minutes. Add garlic; continue to cook and stir another 5 minutes."
18,6648529,3,"Season with salt, pepper, and Creole seasoning; stir well to blend. Pour in chicken broth and add bay leaf. Bring to a boil over high heat; reduce heat to medium-low and simmer, uncovered, for 1 hour, stirring occasionally."
19,6648529,4,Stir in the chicken and simmer 1 hour more. Skim off any foam that floats to the top during this time.
20,6571021,1,Line a 5- to 6-quart slow cooker with Reynolds slow cooker liner.
21,6571021,2,"Place tomatoes, chicken, broth, green pepper, onion, celery, garlic, Cajun seasoning, black pepper, and cayenne pepper into the prepared slow cooker. Stir gently with a wooden spoon or rubber scraper to combine."
22,6571021,3,Cover and cook on Low for 6 hours.
23,6571021,4,"Remove the lid and stir in shrimp gently with a wooden spoon or rubber scraper. Cover and continue cooking on Low until shrimp is opaque, about 3 minutes more. Serve over cooked rice."
24,6596071,1,"Cook and stir oil and flour in a skillet over medium heat until mixture is thick and the color of peanut butter, about 20 minutes."
25,6596071,2,"Stir onion, green bell pepper, and celery into flour mixture; cook and stir until softened, about 5 minutes. Add sausage; cook and stir until browned, about 5 minutes. Add Cajun seasoning, garlic, and black pepper; cook and stir until fragrant, about 2 minutes."
26,6596071,3,"Pour chicken stock over vegetable-sausage mixture; reduce heat to low and simmer for 30 minutes. Add shrimp and cook until shrimp are pink and cooked through, about 10 minutes."
27,6648992,1,Cut sausage into 1/2-inch slices; set aside.
28,6648992,2,"Combine oil and flour in a 4-quart heavy saucepan; mix until smooth. Cook and stir over medium-high heat for 3 minutes. Reduce heat to medium; cook and stir until roux is a dark reddish brown, 6 to 8 minutes."
