,id_recipe,Step_Count,Step Description
0,7565344,1,Gather all ingredients.Dotdash Meredith Food Studios
1,7565344,2,"Pulse together the flour and salt in a food processor. Add butter and pulse until the consistency of breadcrumbs. Add water gradually, pulsing until a dough forms. Wrap and chill dough for 60 minutes or up to overnight.Dotdash Meredith Food Studios"
2,7565344,3,Roll dough to a 12-inch round on a lightly floured surface.Dotdash Meredith Food Studios
3,7565344,4,Gently transfer to a 9-inch pie plate or 10-inch fluted tart pan with a removable bottom. Flute edges of pastry as desired for the pie plate or trim even with the rim of the tart pan.Dotdash Meredith Food Studios
4,7565344,5,Chill for 1 hour before baking as directed in recipes.Dotdash Meredith Food Studios
5,6751344,1,"Whisk together egg yolks, cream, and vanilla in a small bowl until thoroughly combined; set aside. Process flour, sugar, and salt in a food processor until combined, about 3 seconds.Dotdash Meredith Food Studios"
6,6751344,2,"Add butter and pulse until a coarse meal forms, about 12 pulses. Add egg mixture and pulse until mixture starts to clump together, 10 to 12 pulses. Dough will be crumbly but should hold together when squeezed.Dotdash Meredith Food Studios"
7,6751344,3,"Transfer dough to a clean work surface, and press into a single mass. Divide dough evenly into 2 portions. Pat each half into a 1-inch-thick disk. Tightly wrap each dough disk in plastic wrap. Chill dough until firm, at least 2 hours or up to 24 hours.Dotdash Meredith Food Studios"
8,6751344,4,"Place 1 dough disk on a lightly floured work surface. Let dough sit at room temperature 10 minutes to soften. Lightly grease removable bottom only of a 9 1/2-inch tart pan with butter. Roll dough to a 13-inch circle, dusting dough with flour as needed to prevent sticking. Brush off excess flour from dough.Dotdash Meredith Food Studios"
9,6751344,5,"Carefully roll dough around rolling pin, then unroll over the prepared pan. Press dough into the bottom and up the sides of the pan, trimming any excess dough.Dotdash Meredith Food Studios"
10,6751344,6,"Alternatively, press dough into pan without rolling. Patch any cracks with excess dough.Dotdash Meredith Food Studios"
11,6751344,7,"Prick crust all over with a fork. Chill, loosely covered with plastic wrap, 1 hour.Dotdash Meredith Food Studios"
12,6751344,8,"While tart shell chills, preheat oven to 350 degrees F (175 degrees C)."
13,6751344,9,"Line crust with parchment and fill with pie weights or dried beans. Bake in the preheated oven until crust is golden around the edges, 15 to 20 minutes.Dotdash Meredith Food Studios"
14,6751344,10,"Remove weights and parchment. Return to the oven and continue to bake until the bottom of crust is golden brown and looks dry, 10 to 15 minutes.Dotdash Meredith Food Studios"
15,6751344,11,"Transfer tart shell to a wire rack and let cool completely, about 40 minutes.Dotdash Meredith Food Studios"
16,6648423,1,"Combine graham cracker crumbs, sugar, melted butter, and cinnamon in a mixing bowl; mix until well blended. Press mixture into the bottom and up the sides of an 8- or 9-inch pie plate."
17,6648423,2,Follow directions for a baked or no-bake crust.
18,6649097,1,"Combine flour and salt in a large bowl. Use a pasty blender to cut in chilled, diced butter until mixture resembles coarse crumbs."
19,6649097,2,"Add 1 tablespoon cold water at a time, mixing with a spatula or your hands until the dough comes together; you may need less than 1/4 cup water. Shape dough into a disc, wrap in plastic, and refrigerate for at least 4 hours or overnight."
20,6649097,3,"Place chilled dough on a generously floured surface and roll out to an 11-inch circle, adding more flour to your rolling pin as needed. Carefully roll dough onto the rolling pin, then unroll over a 9-inch pie dish. Press dough evenly into the bottom and sides of the dish. Trim any excess dough and flute the edges."
21,6649097,4,Blind-bake or fill and bake as directed in your pie recipe.
22,6604880,1,Gather all ingredients.Allrecipes/Madhumita Sathishkumar
23,6604880,2,Preheat the oven to 375 degrees F (190 degrees C).
24,6604880,3,Set aside 12 to 18 whole gingersnap cookies. Crush remaining cookies until you have 1 1/2 cups fine crumbs. Reserve any remaining cookies for another use.Allrecipes/Madhumita Sathishkumar
25,6604880,4,"Mix gingersnap crumbs, brown sugar, and melted butter together in a bowl until well combined.Allrecipes/Madhumita Sathishkumar"
26,6604880,5,Press mixture into the bottom of a 9-inch springform pan.Allrecipes/Madhumita Sathishkumar
27,6604880,6,"Arrange whole gingersnap cookies upright around the border of the springform pan, pressing into the base and overlapping slightly if necessary, so that they stand firmly.Allrecipes/Madhumita Sathishkumar"
28,6604880,7,"Bake in the preheated oven until set, about 7 minutes. Cool crust completely before filling."
29,6650424,1,"Combine flour, butter, and salt in a food processor. Pulse until mixture resembles coarse crumbs, about 10 (1-second) pulses.Dotdash Meredith Food Studios"
30,6650424,2,Stir ice water and vinegar in a small bowl.
31,6650424,3,"Pour 1/2 of the ice water mixture into flour mixture; pulse to combine, about 3 (1-second) pulses. Pour in remaining ice water mixture; pulse until mixture starts to come together, about 8 (1-second) pulses.Dotdash Meredith Food Studios"
32,6650424,4,"Turn dough out onto a wooden surface, pat it into a circle, and divide it in half. Form each half into a disc, about 5-inches wide.Dotdash Meredith Food Studios"
33,6650424,5,Wrap each disc in plastic wrap and refrigerate for at least 30 minutes until ready to use.Dotdash Meredith Food Studios
34,6650424,6,Use in your favorite pie recipe.Allrecipes/SparkleKat
35,6663360,1,"Whisk together flour and salt in a large bowl. Cut in chilled shortening with a pastry blender until the mixture resembles coarse, pea-sized crumbs.Dotdash Meredith Food Studios"
36,6663360,2,"Add 1/4 cup ice-cold water; use a fork to stir the flour up from the bottom, just until it's mixed in. Press down on any chunks and continue working the dough around the bowl. Continue to add ice-cold water, in 1 tablespoon increments, mixing just until dough is moist enough to hold together when molded; you will not need more than 4 tablespoons and in fact, may need less. Do not add too much water!Dotdash Meredith Food Studios"
37,6663360,3,"Gently gather dough together into a ball. Divide in half, and flatten each half into a 1-inch-thick disc. Wrap each disc in plastic wrap and chill in the refrigerator for at least 30 minutes. For best results, chill for 4 hours, or up to 2 days.Dotdash Meredith Food Studios"
38,6663360,4,"When ready to use, roll dough on a lightly floured surface, being careful not to overwork it.Dotdash Meredith Food Studios"
39,6663360,5,"Fit dough into a pie plate. If it crumbles or tears as you work it, just pinch and press it back into shape."
40,6663360,6,Use as directed in your pie recipe.DOTDASH MEREDITH FOOD STUDIOS
41,6565652,1,Mix together sugar and flour in a medium bowl. Cut in butter with a fork or stand mixer just until the topping is crumbly.
42,6565652,2,Top your pie before baking.
43,6562954,1,Whisk flour and salt together in a large bowl. Cut in lard with a knife or pastry blender until the mixture resembles coarse crumbs.
44,6562954,2,"Sprinkle in water, 1 tablespoon at a time, blending gently with a fork or pastry blender until all flour is moistened and dough almost cleans the sides of the bowl."
45,6562954,3,Divide the dough in half and shape flattened rounds. Wrap in plastic and refrigerate for at least 1 hour.
46,6566403,1,Preheat the oven to 450 degrees F (230 degrees C).
47,6566403,2,"Mix baking mix and butter together in a small bowl. Add water and vigorously stir until a soft dough forms. Flour your hands with a bit of baking mix, then press dough into a 9-inch pie plate."
48,6566403,3,"Bake in the preheated oven until light golden brown, 8 to 10 minutes. Let cool completely before filling with desired filling."
49,6663832,1,Whisk flour and salt together in a large bowl. Cut in shortening until it resembles coarse crumbs.
50,6663832,2,"Mix cold water, egg, and vinegar together in a separate bowl. Add to flour mixture and blend with a fork until a ball of dough forms. Divide into three equal balls; flatten each ball into a disk. Wrap disks in plastic wrap and refrigerate until ready to use."
51,6740972,1,Place 1 cup flour into a food processor with the blade attachment. Sprinkle frozen butter cubes over flour.Dotdash Meredith Food Studios
52,6740972,2,"Cover with remaining 1 cup flour, sugar, and salt. Pulse in short bursts until butter is broken down into small pieces, about 1 minute.Dotdash Meredith Food Studios"
53,6740972,3,"Drizzle in ice water. Pulse with longer pulses until mixture turns pale yellow and resembles bread crumbs, 10 to 12 seconds. Scrape down the sides with a spatula. Pulse 1 to 2 more times.Dotdash Meredith Food Studios"
54,6740972,4,Transfer mixture onto a work surface and gather into a ball. Flatten slightly and wrap in plastic wrap. Chill in the refrigerator for at least 1 hour to overnight before rolling out.Dotdash Meredith Food StudiosDotdash Meredith Food Studios
55,6663613,1,Preheat the oven to 400 degrees F (200 degrees C).
56,6663613,2,"Combine flour, oil, milk, sugar, and salt in a 9-inch pie pan; stir with a fork until mixture comes together. Pat into the bottom and up the sides of the pan. Poke holes in the bottom and sides with a fork."
57,6663613,3,"Bake in the preheated oven until light golden brown, about 15 minutes. Use as directed in your favorite pie recipe."
58,6578940,1,"Measure flour into the processor with the regular blade attached. Add chilled and cubed shortening and unsalted butter. Add salt, close the lid, and pulse three times with three counts per pulse to lightly mix the ingredients."
59,6578940,2,"With the motor running, pour ice water into the food processor bowl just until the dough just starts to get noticeably crumbly. Don't wait until it is a big clump or it will be way too wet and will turn out tough."
60,6578940,3,"Transfer the crumbly dough into a bowl, and form it into a ball with your hand, squeezing it a bit to make it stick together. If it just won't form a ball, add a tiny bit more water."
61,6578940,4,Wrap dough in wax paper or plastic wrap and chill it for about 30 minutes in the refrigerator. Follow your pie recipe for rolling and baking.
62,6566166,1,"Mix crumbs, butter, and sugar in a bowl. Press mixture into a 9-inch pie plate. Use a spoon to press the crumbs up the side of the plate and the side of your hand to press down on the top."
63,6566166,2,Refrigerate at least 1 hour before filling.
64,6741740,1,Preheat oven to 350 degrees F (175 degrees C).
65,6741740,2,"In a large bowl, cream butter and confectioners' sugar until light and fluffy. Stir together flour and baking powder; blend into butter mixture. Pat into a 9 inch pie plate."
66,6741740,3,"Bake in preheated oven for 12 to 15 minutes, or until edges are lightly browned."
67,6566200,1,"In a large bowl, mix flour and salt. With a pastry blender, cut in the shortening until pea-sized."
68,6566200,2,"Beat together egg, vinegar and water. Mix liquid with flour mixture, using a fork, until mixture forms a ball (Note: add liquid one tablespoon at a time. You probably will not use all of it.)"
69,6566200,3,Roll out on lightly floured pastry cloth with cloth covered roller.
70,6566200,4,Brush the crust with milk and sprinkle with sugar before baking.
71,6566436,1,"Combine flour and salt. Cut in shortening with pastry blender until mixture resembles coarse meal. Combine egg and water, and sprinkle lightly over flour mixture. Add vinegar, and lightly stir with a fork until dry ingredients are moistened. Shape into a ball."
72,6566436,2,Wrap dough in wax paper. Chill for at least one hour. Use as directed in any fried pie recipe.
73,6597378,1,"Place flour in a large bowl. Sprinkle in the chopped butter; rub butter into the flour until it resembles bread crumbs. Stir in the grated cheese. Sprinkle water over the flour mixture, a teaspoon at a time, stirring lightly with a fork. Add just enough water to allow the dough form a ball and cleanly leave the sides of the bowl. Wrap the dough in plastic wrap, and refrigerate for at least 30 minutes."
74,6597378,2,"Preheat an oven to 375 degrees F (190 degrees C). Roll out dough, and place in a 9 inch pie/quiche pan. Use a fork to prick holes over the bottom of the pastry."
75,6597378,3,Bake crust in preheated oven for 10 minutes before filling with quiche custard of your choice.
76,6737829,1,"Mix shortening, flour, and salt together with a fork or a pastry blender until very crumbly. Add as much water as needed to hold together, and mix lightly with a fork."
77,6737829,2,"Roll gently on a floured pastry cloth to about an inch larger than pie plate. Fold carefully in half, lift to pie plate, and unfold. Press into pan. For a single-crust pie, trim with a small knife to about 1/2 inch beyond rim. Fold up, and pinch so edge of pie is raised from rim."
78,6739816,1,"Whisk the flour and salt together in a medium size bowl. With a pastry blender, cut in the cold shortening until the mixture resembles coarse crumbs. Drizzle 2 to 3 tablespoons ice water over flour. Toss mixture with a fork to moisten, adding more water a few drops at a time until the dough comes together."
